isTs	is1stLast	prevCol	del.t	condName
FALSE	e	NA	NA	GSM1199353
FALSE	e	NA	NA	GSM1199354
FALSE	e	NA	NA	GSM1199355
FALSE	e	NA	NA	GSM1199356
FALSE	e	NA	NA	GSM1199357
FALSE	e	NA	NA	GSM1199358
FALSE	e	NA	NA	GSM1199359
FALSE	e	NA	NA	GSM1199360
FALSE	e	NA	NA	GSM1199361
FALSE	e	NA	NA	GSM1199362
FALSE	e	NA	NA	GSM1199363
FALSE	e	NA	NA	GSM1199364
FALSE	e	NA	NA	GSM1199365
FALSE	e	NA	NA	GSM1199367
FALSE	e	NA	NA	GSM1199369
FALSE	e	NA	NA	GSM1199373
FALSE	e	NA	NA	GSM1199376
FALSE	e	NA	NA	GSM1199379
FALSE	e	NA	NA	GSM1199388
FALSE	e	NA	NA	GSM1199391
FALSE	e	NA	NA	GSM1199394
FALSE	e	NA	NA	GSM1199396
FALSE	e	NA	NA	GSM1199398
FALSE	e	NA	NA	GSM1199399
FALSE	e	NA	NA	GSM1199400
FALSE	e	NA	NA	GSM1199401
FALSE	e	NA	NA	GSM1199402
FALSE	e	NA	NA	GSM1199403
FALSE	e	NA	NA	GSM1199404
FALSE	e	NA	NA	GSM1199405
FALSE	e	NA	NA	GSM1199406
FALSE	e	NA	NA	GSM1199407
FALSE	e	NA	NA	GSM1199408
FALSE	e	NA	NA	GSM1199409
FALSE	e	NA	NA	GSM1199410
FALSE	e	NA	NA	GSM1199411
FALSE	e	NA	NA	GSM1199412
FALSE	e	NA	NA	GSM1199413
FALSE	e	NA	NA	GSM1199414
FALSE	e	NA	NA	GSM1199416
FALSE	e	NA	NA	GSM1199417
FALSE	e	NA	NA	GSM1199419
FALSE	e	NA	NA	GSM1199420
FALSE	e	NA	NA	GSM1199421
FALSE	e	NA	NA	GSM1199422
FALSE	e	NA	NA	GSM1199423
FALSE	e	NA	NA	GSM1199424
FALSE	e	NA	NA	GSM1199425
FALSE	e	NA	NA	GSM1199426
FALSE	e	NA	NA	GSM1199427
FALSE	e	NA	NA	GSM1199428
FALSE	e	NA	NA	GSM1199429
FALSE	e	NA	NA	GSM1199430
FALSE	e	NA	NA	GSM1199432
FALSE	e	NA	NA	GSM1199433
FALSE	e	NA	NA	GSM1199434
FALSE	e	NA	NA	GSM1199435
FALSE	e	NA	NA	GSM1199436
FALSE	e	NA	NA	GSM1199438
FALSE	e	NA	NA	GSM1199441
FALSE	e	NA	NA	GSM1199442
FALSE	e	NA	NA	GSM1199443
FALSE	e	NA	NA	GSM1199444
FALSE	e	NA	NA	GSM1199445
FALSE	e	NA	NA	GSM1199446
FALSE	e	NA	NA	GSM1199447
FALSE	e	NA	NA	GSM1199448
FALSE	e	NA	NA	GSM1199449
FALSE	e	NA	NA	GSM1199451
FALSE	e	NA	NA	GSM1199452
FALSE	e	NA	NA	GSM1199453
FALSE	e	NA	NA	GSM1199454
FALSE	e	NA	NA	GSM1199455
FALSE	e	NA	NA	GSM1199456
FALSE	e	NA	NA	GSM1199457
FALSE	e	NA	NA	GSM1199458
FALSE	e	NA	NA	GSM1199459
FALSE	e	NA	NA	GSM1199460
FALSE	e	NA	NA	GSM1199461
FALSE	e	NA	NA	GSM1199462
FALSE	e	NA	NA	GSM1199463
FALSE	e	NA	NA	GSM1199465
FALSE	e	NA	NA	GSM1199466
FALSE	e	NA	NA	GSM1199467
FALSE	e	NA	NA	GSM1199470
FALSE	e	NA	NA	GSM1199471
FALSE	e	NA	NA	GSM1199472
FALSE	e	NA	NA	GSM1199474
FALSE	e	NA	NA	GSM1199475
FALSE	e	NA	NA	GSM1199476
FALSE	e	NA	NA	GSM1199477
FALSE	e	NA	NA	GSM1199478
FALSE	e	NA	NA	GSM1199479
FALSE	e	NA	NA	GSM1199480
FALSE	e	NA	NA	GSM1199481
FALSE	e	NA	NA	GSM1199482
FALSE	e	NA	NA	GSM1199483
FALSE	e	NA	NA	GSM1199484
FALSE	e	NA	NA	GSM1199485
FALSE	e	NA	NA	GSM1199486
FALSE	e	NA	NA	GSM1199487
FALSE	e	NA	NA	GSM1199488
FALSE	e	NA	NA	GSM1199489
FALSE	e	NA	NA	GSM1199491
FALSE	e	NA	NA	GSM1199493
FALSE	e	NA	NA	GSM1199494
FALSE	e	NA	NA	GSM1199495
FALSE	e	NA	NA	GSM1199496
FALSE	e	NA	NA	GSM1199497
FALSE	e	NA	NA	GSM1199498
FALSE	e	NA	NA	GSM1199499
FALSE	e	NA	NA	GSM1199500
FALSE	e	NA	NA	GSM1199501
FALSE	e	NA	NA	GSM1199502
